,0,1,2,3,4,5,6,7,8,9,10,11
Classic Sparse ER,0.04838709533214569,0.037001896649599075,0.052182164043188095,0.04933586344122887,0.04838709533214569,0.037001896649599075,0.04838709533214569,0.037001896649599075,0.0559772290289402,0.03415559604763985,0.037001896649599075,0.03415559604763985
Cond Sparse ER w/o Selector,0.9335863590240479,0.9070208668708801,0.9288424849510193,0.9070208668708801,0.929791271686554,0.9203035831451416,0.6802656650543213,0.910815954208374,0.9288424849510193,0.929791271686554,0.7030360698699951,0.9098671674728394
Cond Sparse ER,0.06896551698446274,0.1111111119389534,0.1666666716337204,0.10526315867900848,0.09090909361839294,0.11764705926179886,0.3333333432674408,0.1666666716337204,0.6000000238418579,0.1111111119389534,0.4615384638309479,0.05882352963089943
Cond SVM ER,0.06896551698446274,0.0,0.0,0.0,0.09090909361839294,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coverage,0.027514230459928513,0.017077798023819923,0.011385198682546616,0.0180265661329031,0.03130929917097092,0.016129031777381897,0.017077798023819923,0.017077798023819923,0.004743833094835281,0.017077798023819923,0.012333965860307217,0.016129031777381897
