,0,1,2,3,4,5,6,7,8,9,10,11
Classic Sparse ER,0.03684210777282715,0.03684210777282715,0.03684210777282715,0.03684210777282715,0.03684210777282715,0.03684210777282715,0.03684210777282715,0.03684210777282715,0.03684210777282715,0.03684210777282715,0.03684210777282715,0.03684210777282715
Cond Sparse ER w/o Selector,0.07894737273454666,0.09473684430122375,0.06315790116786957,0.09473684430122375,0.06315790116786957,0.06315790116786957,0.10526315867900848,0.11052632331848145,0.08947368711233139,0.08421052992343903,0.11578948050737381,0.12631580233573914
Cond Sparse ER,0.06818182021379471,0.10112359374761581,0.08791209012269974,0.09574468433856964,0.0416666679084301,0.040816325694322586,0.10227272659540176,0.05999999865889549,0.09195402264595032,0.07865168899297714,0.057692307978868484,0.03448275849223137
Cond SVM ER,0.011363636702299118,0.07865168899297714,0.032967034727334976,0.042553190141916275,0.02083333395421505,0.040816325694322586,0.07954545319080353,0.03999999910593033,0.06896551698446274,0.04494382068514824,0.03846153989434242,0.02298850566148758
Coverage,0.46315792202949524,0.468421071767807,0.47894740104675293,0.49473685026168823,0.5052632093429565,0.5157895088195801,0.46315792202949524,0.5263158082962036,0.4578947424888611,0.468421071767807,0.5473684668540955,0.4578947424888611
